id,titulo,url,fecha,score_utilidad,prioridad,categorias,resumen_utilidad,motivo_prioridad,requiere_extraccion_profunda,archivo_texto,posible_paywall,longitud_texto,tiene_transcripcion,observaciones
114,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,2025-06-01T07:50:06.024Z,100,P1,Alquiler por habitaciones | Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Comunidad / IBI / seguros | Riesgos con Hacienda | Gestión operativa,Trata directamente el alquiler por habitaciones Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/clase-12-otros-gastos-deducibles.md,Sí,14163,Sí,usa_transcripcion
105,#Clase 13: Amortización del Mobiliario,https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario,2025-06-22T08:24:31.333Z,100,P1,Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Prueba documental | Riesgos con Hacienda | Gestión operativa,Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora Puede servir como soporte documental,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/clase-13-amortizacion-del-mobiliario.md,Sí,14845,Sí,usa_transcripcion
77,#Clase 16: Cálculo del Rendimiento Neto/Reducido.,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,2025-08-28T07:02:17.368Z,100,P1,Alquiler por habitaciones | Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Comunidad / IBI / seguros | Vivienda habitual / reducción IRPF | Prueba documental | Riesgos con Hacienda | Gestión operativa,Trata directamente el alquiler por habitaciones Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora Puede servir como soporte documental,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/clase-16-calculo-del-rendimiento.md,Sí,17205,Sí,usa_transcripcion
14,#Clase 27: Declara tus pisos por habitaciones de esta forma y ahorra impuestos.,https://fiscalizarte.substack.com/p/clase-27-declara-tus-pisos-por-habitaciones,2026-03-20T17:17:55.328Z,100,P1,Alquiler por habitaciones | Fiscalidad IRPF | Gastos deducibles | Amortización | Suministros | Comunidad / IBI / seguros | Vivienda habitual / reducción IRPF | Prueba documental | Riesgos con Hacienda | Gestión operativa,Trata directamente el alquiler por habitaciones Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Puede servir como soporte documental,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/clase-27-declara-tus-pisos-por-habitaciones.md,Sí,12973,Sí,usa_transcripcion
141,#Clase 6: Cálculo del Rendimiento de Capital Inmobiliario.,https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de,2025-03-30T06:02:18.484Z,100,P1,Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Comunidad / IBI / seguros | Vivienda habitual / reducción IRPF | Persona física vs sociedad | Prueba documental | Riesgos con Hacienda | Gestión operativa,Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora Compara persona física frente a sociedad Puede servir como soporte documental,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/clase-6-calculo-del-rendimiento-de.md,Sí,12233,Sí,usa_transcripcion
135,#Clase 8: Gastos Deducibles (Cuestiones Comunes),https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones,2025-04-13T06:05:17.684Z,100,P1,Alquiler por habitaciones | Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Comunidad / IBI / seguros | Vivienda habitual / reducción IRPF | Prueba documental | Riesgos con Hacienda | Gestión operativa,Trata directamente el alquiler por habitaciones Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora Puede servir como soporte documental,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/clase-8-gastos-deducibles-cuestiones.md,Sí,8748,Sí,usa_transcripcion
146,Reparaciones en tu edificio alquilado: ¿puedes deducirlas en el IRPF?,https://fiscalizarte.substack.com/p/reparaciones-en-tu-edificio-alquilado,2025-03-18T06:30:50.727Z,100,P1,Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Vivienda habitual / reducción IRPF | Riesgos con Hacienda,Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/reparaciones-en-tu-edificio-alquilado.md,Sí,3415,No,
174,¿Alquilas habitaciones en tu vivienda habitual? Así afecta a tu IRPF y a la exención por venta de vivienda habitual,https://fiscalizarte.substack.com/p/alquilas-habitaciones-en-tu-vivienda,2025-01-28T13:03:39.104Z,100,P1,Alquiler por habitaciones | Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Suministros | Comunidad / IBI / seguros | Vivienda habitual / reducción IRPF | Gestión operativa,Trata directamente el alquiler por habitaciones Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Ayuda a separar reparación y mejora,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/alquilas-habitaciones-en-tu-vivienda.md,No,1840,No,
199,¿Estás cediendo tu vivienda en usufructo? Descubre qué gastos puedes deducir y cómo optimizar tu declaración de la renta.,https://fiscalizarte.substack.com/p/estas-cediendo-tu-vivienda-en-usufructo,2024-11-21T06:29:50.151Z,100,P1,Fiscalidad IRPF | Gastos deducibles | Reparación vs mejora | Amortización | Intereses hipotecarios | Suministros | Comunidad / IBI / seguros | Vivienda habitual / reducción IRPF | Persona física vs sociedad | Prueba documental | Riesgos con Hacienda,Útil para declarar rendimientos en IRPF Explica gastos deducibles Explica cómo amortizar el inmueble Incluye intereses o financiación Ayuda a separar reparación y mejora Compara persona física frente a sociedad Puede servir como soporte documental,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/estas-cediendo-tu-vivienda-en-usufructo.md,No,3817,No,
91,"🏠 Alquilas tu piso por habitaciones… pero, ¿sabes cómo declarar bien la amortización del inmueble?",https://fiscalizarte.substack.com/p/alquilas-tu-piso-por-habitaciones,2025-07-23T11:39:20.141Z,100,P1,Alquiler por habitaciones | Fiscalidad IRPF | Reparación vs mejora | Amortización | Suministros | Comunidad / IBI / seguros | Riesgos con Hacienda | Gestión operativa,Trata directamente el alquiler por habitaciones Útil para declarar rendimientos en IRPF Explica cómo amortizar el inmueble Ayuda a separar reparación y mejora,"Muy alineado con alquiler por habitaciones, IRPF o deducciones aplicables",Sí,posts_texto/alquilas-tu-piso-por-habitaciones.md,Sí,2403,No,
