post_id,titulo,url,fecha,grupo_depurado,categoria,punto_extraido,fragmento_soporte,aplicacion_a_mi_caso,tipo,riesgo,confianza,validar_con_asesor,documentacion_recomendada,accion_recomendada,pregunta_asesor,observaciones
34,Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.,https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,2026-01-07T08:47:54.863Z,B_BASE_FISCAL_UTIL,Fiscal,El post aporta criterio sobre gastos deducibles o su defensa documental.,gunda. Hacienda no te está diciendo que no pagues. Te está diciendo: “me da igual quién pague; tú solo puedes deducirte lo que corresponde a lo que es tuyo ”. Requisitos rápidos (porque aquí la gente se lía) Esto afecta sobre todo al régimen transitorio de,Te sirve para decidir qué gastos meter y cómo defenderlos.,Fiscal,Alto,Media,Sí,Facturas | Justificantes bancarios | Explicación de vinculación,Revisar este criterio antes de incluir gastos discutibles.,¿Este criterio me permite deducir este tipo de gasto en mi caso o aumenta riesgo?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
34,Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.,https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,2026-01-07T08:47:54.863Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.","a deducción por vivienda habitual va por titularidad, no por quién paga . Si en el Registro eres dueña al 33,33% , deduces 33,33% . Aunque hayas pagado tú el 100% del préstamo. (Consulta V1533-25 , 26/08/2025; publicado 23/12/2025 en la AEAT/DGT.) El “",Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Fiscal,Alto,Media,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar o revisar ficha de amortización si aplica.,¿Cómo debo aplicar esta amortización en mi caso concreto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
34,Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.,https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,2026-01-07T08:47:54.863Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre reducción, vivienda habitual o límites para aplicarla.","Escena típica de 2001: Quieres comprarte tu vivienda habitual. El banco te mira y te suelta: “Vale… pero tus padres dentro. En la escritura y en la hipoteca. Si no, no hay préstamo.” Tú tragas. Pasan l",Te sirve para detectar cuándo una reducción puede ser defendible y cuándo no.,Fiscal,Alto,Media,Sí,Contrato | Prueba de uso/residencia | Histórico de inquilinos,Validar este criterio antes de aplicar una reducción en renta.,¿Puedo aplicar esta reducción en mi caso de alquiler por habitaciones o no es defendible?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
34,Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.,https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,2026-01-07T08:47:54.863Z,B_BASE_FISCAL_UTIL,Documental,El post exige soporte documental concreto para defender el criterio ante Hacienda.,"ones útiles: 1) Aceptar la realidad y no pelearlo Si no vas a cambiar la titularidad, deja de perder energía: Hacienda te lo va a limitar. 2) Cambiar titularidad (pero ojo con el “timing” fiscal) Si te haces con el 100% ahora (por ejemplo, comprando la parte de","Sirve para blindar ingresos, gastos y criterios si Hacienda revisa.",Documental,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar soporte probatorio ligado a este criterio.,¿Qué documentación adicional conviene guardar para defender este punto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
1,#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,2026-05-18T15:13:24.320Z,B_BASE_FISCAL_UTIL,Fiscal,El post aporta criterio sobre gastos deducibles o su defensa documental.,omo rendimiento de capital inmobiliario contratando a esa persona jornada completa cuyo sueldo me voy a poder deducir en esos rendimientos de actividades económicas y una vez que haya cumplido esos tres años aporto una rama de actividad económica a una soci,Te sirve para decidir qué gastos meter y cómo defenderlos.,Fiscal,Alto,Media,Sí,Facturas | Justificantes bancarios | Explicación de vinculación,Revisar este criterio antes de incluir gastos discutibles.,¿Este criterio me permite deducir este tipo de gasto en mi caso o aumenta riesgo?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
1,#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,2026-05-18T15:13:24.320Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.","s digo que hay que hacer y ha decidido que sí. que amortiza este coste fiscal en pocos años y a partir de esa amortización empezará a ahorrar impuestos. La pregunta de la clase de hoy, ¿es posible que Rubén se ahorre esos 8.164,50 euros? O alguno de vosotros que",Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Fiscal,Alto,Media,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar o revisar ficha de amortización si aplica.,¿Cómo debo aplicar esta amortización en mi caso concreto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
1,#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,2026-05-18T15:13:24.320Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre reducción, vivienda habitual o límites para aplicarla.",un 25% del impuesto sobre sociedades igualmente ingresos menos gastos como el IRPF pero sin poder aplicar las reducciones por vivienda habitual no obstante hay inversores que le interesa invertir a través de una patrimonial. Pero principalmente hay un problem,Te sirve para detectar cuándo una reducción puede ser defendible y cuándo no.,Fiscal,Alto,Media,Sí,Contrato | Prueba de uso/residencia | Histórico de inquilinos,Validar este criterio antes de aplicar una reducción en renta.,¿Puedo aplicar esta reducción en mi caso de alquiler por habitaciones o no es defendible?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
1,#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,2026-05-18T15:13:24.320Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre suministros, comunidad, IBI, seguros u otros gastos corrientes del inmueble.","luego el requisito más importante, que es el que no se suele cumplir, ¿vale? Como digo, que la entidad es recibida en España, ¿vale? y que se cuenta al menos con el 5% se suele cumplir fácilmente. Lo que es más complicado de cumplir y ahora lo cuento e","Muy útil para alquiler por habitaciones, donde el reparto o repercusión suele generar dudas.",Fiscal,Medio,Media,Sí,Recibo IBI | Recibos comunidad | Pólizas/recibos | Facturas suministros,Separar y archivar estos gastos con su criterio de imputación.,¿Qué criterio de imputación o prorrateo debo aplicar a estos gastos en mi caso?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
1,#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,2026-05-18T15:13:24.320Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre estructura fiscal, persona física o sociedad, que requiere validación caso por caso.","s asesores tampoco lo explican. Entonces el inversor llega tarde. Llega cuando ya ha acumulado inmuebles como persona física. Llega cuando ya tiene plusvalías latentes enormes. Llega cuando las rentas inmobiliarias se le suman al trabajo, a la actividad económica","Aunque tu caso sea persona física, ayuda a no tomar decisiones de estructura por titulares.",Fiscal,Alto,Media,Sí,Resumen ingresos/gastos | Escenario comparativo | Borrador renta,No cambiar estructura sin contraste numérico y asesoramiento.,¿Tiene sentido en mi caso seguir como persona física o valorar otra estructura sería innecesario?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
49,"Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel",https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda,2025-11-26T08:31:08.634Z,B_BASE_FISCAL_UTIL,Fiscal,El post aporta criterio sobre gastos deducibles o su defensa documental.,"actual. 3) “¿Y la plusvalía municipal?” Otra trampa clásica. La plusvalía la paga el vendedor , y sí se puede deducir como gasto al calcular la ganancia patrimonial, pero solo cuando esté efectivamente pagada (no basta con que esté liquidada). Así que guard",Te sirve para decidir qué gastos meter y cómo defenderlos.,Fiscal,Alto,Media,Sí,Facturas | Justificantes bancarios | Explicación de vinculación,Revisar este criterio antes de incluir gastos discutibles.,¿Este criterio me permite deducir este tipo de gasto en mi caso o aumenta riesgo?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
