titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_usado,body_text,body_length,transcript_text,transcript_length,transcript_source,combined_text,combined_length,media_upload_ids,duracion_media,estado_extraccion,notas
#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,,2026-05-18T15:13:24.320Z,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,34b7f898-a9c1-4d94-bf8d-65f5c1ac418e | 3f366370-2dd9-4775-af7e-5940812f1b5b,1286.9 | 1286.7657,PENDIENTE,Preparado para extracción final
La villa en Lombok que parecía una gran inversión… hasta que apareció Hacienda,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-05-18T06:32:25.249Z,https://fiscalizarte.substack.com/p/la-villa-en-lombok-que-parecia-una,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
El error fiscal que veo en el 95% de inversores inmobiliarios.,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-05-11T07:54:59.231Z,https://fiscalizarte.substack.com/p/el-error-fiscal-que-veo-en-el-95,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Tu gestor puede estar metiéndote en un problema fiscal sin que te enteres. ,Caso real de un inversor cercano a mí.,2026-05-09T08:00:47.892Z,https://fiscalizarte.substack.com/p/tu-gestor-puede-estar-metiendote,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable.,Lo que gran parte de gestores a los que estás pagando desconocen.,2026-05-04T06:10:29.531Z,https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,b99ddd88-9f9d-49c8-af20-16e937e5da89 | 11540fbc-1d31-489d-ba11-792e96b71998,4094.8 | 4094.6677,PENDIENTE,Preparado para extracción final
#Clase 30: Clase BOMBA: así realizo una auditoría fiscal-patrimonial de un inversor de mi comunidad.,Con una cartera de inmuebles valorada en 398.000 euros... ¿Sigue cómo persona física o constituye una patrimonial?.,2026-04-29T11:09:59.625Z,https://fiscalizarte.substack.com/p/clase-30-clase-bomba-asi-realizo,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,50750d14-6765-482d-adc7-07fa334e1f3b | bc08e549-1f62-48de-95cb-ca3be1b0e529,2688.6333 | 2688.444,PENDIENTE,Preparado para extracción final
"¿Sociedad limitada para hacer flipping?
No siempre. Y ese es justo el error que comete mucha gente",¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-04-19T08:50:23.190Z,https://fiscalizarte.substack.com/p/sociedad-limitada-para-hacer-flipping,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Le he ahorrado a un inversor 1.200€ en su declaración de la renta.,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-04-16T08:53:33.036Z,https://fiscalizarte.substack.com/p/le-he-ahorrado-a-un-inversor-1200,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Así le he ahorrado 2.200€ a un inversor que estaba declarando mal sus inmuebles..,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-04-09T14:52:54.065Z,https://fiscalizarte.substack.com/p/asi-le-he-ahorrado-2200-a-un-inversor,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 29: Esta clase 29 de Fiscalizarte no es una clase cualquiera...,75 minutos que pueden cambiar cómo entiendes tu sociedad.,2026-04-06T07:39:53.161Z,https://fiscalizarte.substack.com/p/clase-29-esta-clase-29-de-fiscalizarte,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,e3be5315-8f26-49fc-a632-91ae815c5389 | e4bc1018-a0e1-4d7c-9eac-ad2ba44288d3,4599.825 | 4599.7974,PENDIENTE,Preparado para extracción final
Estar autorizado en una cuenta no significa que el dinero sea tuyo,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-04-01T07:20:42.080Z,https://fiscalizarte.substack.com/p/estar-autorizado-en-una-cuenta-no,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
